sample_name,surface,substrate,sputtering_entries,spectra,colors,first_sputtering_date,sample_manifest
S-10,smooth,Silicon,1,2,0,2025-04-03,by_sample/S-10/manifest.json
S-11,mixed,mixed,1,2,0,2025-04-10,by_sample/S-11/manifest.json
D-12,mixed,Silicon,1,4,0,2025-04-21,by_sample/D-12/manifest.json
D-18,mixed,mixed,1,2,0,2025-06-12,by_sample/D-18/manifest.json
B-1,mixed,Silicon,1,4,4,2025-09-12,by_sample/B-1/manifest.json
B-2,mixed,Silicon,1,3,4,2025-09-13,by_sample/B-2/manifest.json
C-5,smooth,Silicon,1,1,1,2026-01-23,by_sample/C-5/manifest.json
