nm, %R
800.000000, 43.821201
799.000000, 43.920548
798.000000, 44.013239
797.000000, 44.092346
796.000000, 44.176337
795.000000, 44.269686
794.000000, 44.357661
793.000000, 44.467449
792.000000, 44.555805
791.000000, 44.643573
790.000000, 44.728245
789.000000, 44.804239
788.000000, 44.894376
787.000000, 44.985958
786.000000, 45.081694
785.000000, 45.159367
784.000000, 45.248019
783.000000, 45.338530
782.000000, 45.423131
781.000000, 45.505336
780.000000, 45.599273
779.000000, 45.682793
778.000000, 45.763392
777.000000, 45.855037
776.000000, 45.961353
775.000000, 46.037423
774.000000, 46.125750
773.000000, 46.214291
772.000000, 46.304850
771.000000, 46.390828
770.000000, 46.466383
769.000000, 46.547756
768.000000, 46.636882
767.000000, 46.722413
766.000000, 46.811275
765.000000, 46.889989
764.000000, 46.973544
763.000000, 47.073972
762.000000, 47.150967
761.000000, 47.239668
760.000000, 47.324519
759.000000, 47.409154
758.000000, 47.491701
757.000000, 47.572359
756.000000, 47.663324
755.000000, 47.742136
754.000000, 47.825510
753.000000, 47.912549
752.000000, 47.996959
751.000000, 48.085707
750.000000, 48.167404
749.000000, 48.241439
748.000000, 48.322574
747.000000, 48.407093
746.000000, 48.487501
745.000000, 48.572673
744.000000, 48.666079
743.000000, 48.742209
742.000000, 48.822022
741.000000, 48.907267
740.000000, 48.985680
739.000000, 49.067282
738.000000, 49.144853
737.000000, 49.223454
736.000000, 49.308806
735.000000, 49.396191
734.000000, 49.468638
733.000000, 49.550955
732.000000, 49.633267
731.000000, 49.705754
730.000000, 49.780714
729.000000, 49.861332
728.000000, 49.948639
727.000000, 50.025807
726.000000, 50.096551
725.000000, 50.184118
724.000000, 50.261282
723.000000, 50.337022
722.000000, 50.407397
721.000000, 50.481152
720.000000, 50.563938
719.000000, 50.639997
718.000000, 50.708089
717.000000, 50.791559
716.000000, 50.872152
715.000000, 50.943871
714.000000, 51.014012
713.000000, 51.089162
712.000000, 51.169369
711.000000, 51.247293
710.000000, 51.318347
709.000000, 51.392954
708.000000, 51.471003
707.000000, 51.535982
706.000000, 51.610788
705.000000, 51.684070
704.000000, 51.765661
703.000000, 51.843005
702.000000, 51.907072
701.000000, 51.978142
700.000000, 52.056136
699.000000, 52.123655
698.000000, 52.189632
697.000000, 52.268489
696.000000, 52.341462
695.000000, 52.405106
694.000000, 52.475387
693.000000, 52.537086
692.000000, 52.599525
691.000000, 52.673876
690.000000, 52.738839
689.000000, 52.805906
688.000000, 52.869389
687.000000, 52.936190
686.000000, 53.009937
685.000000, 53.072790
684.000000, 53.125003
683.000000, 53.194262
682.000000, 53.267547
681.000000, 53.332396
680.000000, 53.395658
679.000000, 53.464743
678.000000, 53.531513
677.000000, 53.587738
676.000000, 53.657698
675.000000, 53.734092
674.000000, 53.787359
673.000000, 53.839873
672.000000, 53.897555
671.000000, 53.954226
670.000000, 54.007593
669.000000, 54.065195
668.000000, 54.127182
667.000000, 54.184491
666.000000, 54.242876
665.000000, 54.301864
664.000000, 54.358644
663.000000, 54.410733
662.000000, 54.469087
661.000000, 54.532351
660.000000, 54.582340
659.000000, 54.625976
658.000000, 54.671876
657.000000, 54.726932
656.000000, 54.779016
655.000000, 54.830341
654.000000, 54.881763
653.000000, 54.930627
652.000000, 54.985145
651.000000, 55.029917
650.000000, 55.079681
649.000000, 55.126757
648.000000, 55.167026
647.000000, 55.211338
646.000000, 55.252953
645.000000, 55.293610
644.000000, 55.345309
643.000000, 55.390085
642.000000, 55.425954
641.000000, 55.467922
640.000000, 55.519561
639.000000, 55.568050
638.000000, 55.606324
637.000000, 55.642731
636.000000, 55.673117
635.000000, 55.699414
634.000000, 55.738033
633.000000, 55.777289
632.000000, 55.810956
631.000000, 55.843434
630.000000, 55.884681
629.000000, 55.920083
628.000000, 55.941396
627.000000, 55.966779
626.000000, 55.997909
625.000000, 56.029897
624.000000, 56.055421
623.000000, 56.092730
622.000000, 56.131918
621.000000, 56.153870
620.000000, 56.162748
619.000000, 56.184373
618.000000, 56.218476
617.000000, 56.238295
616.000000, 56.252065
615.000000, 56.266414
614.000000, 56.281096
613.000000, 56.305477
612.000000, 56.331606
611.000000, 56.343366
610.000000, 56.348154
609.000000, 56.363340
608.000000, 56.386554
607.000000, 56.397265
606.000000, 56.408163
605.000000, 56.417928
604.000000, 56.423842
603.000000, 56.428682
602.000000, 56.434557
601.000000, 56.433258
600.000000, 56.434961
599.000000, 56.436938
598.000000, 56.439357
597.000000, 56.437872
596.000000, 56.436425
595.000000, 56.437995
594.000000, 56.435897
593.000000, 56.431284
592.000000, 56.430226
591.000000, 56.429040
590.000000, 56.414137
589.000000, 56.393512
588.000000, 56.378950
587.000000, 56.354272
586.000000, 56.331010
585.000000, 56.320160
584.000000, 56.308301
583.000000, 56.284340
582.000000, 56.267321
581.000000, 56.243441
580.000000, 56.220175
579.000000, 56.189247
578.000000, 56.160003
577.000000, 56.124762
576.000000, 56.098882
575.000000, 56.070914
574.000000, 56.029498
573.000000, 55.992790
572.000000, 55.951966
571.000000, 55.917035
570.000000, 55.878125
569.000000, 55.835461
568.000000, 55.791555
567.000000, 55.747188
566.000000, 55.695132
565.000000, 55.647178
564.000000, 55.586902
563.000000, 55.526593
562.000000, 55.460197
561.000000, 55.394077
560.000000, 55.328808
559.000000, 55.264010
558.000000, 55.192810
557.000000, 55.128516
556.000000, 55.056120
555.000000, 54.980089
554.000000, 54.902404
553.000000, 54.825376
552.000000, 54.740807
551.000000, 54.657856
550.000000, 54.580105
549.000000, 54.486966
548.000000, 54.391816
547.000000, 54.295338
546.000000, 54.198912
545.000000, 54.096430
544.000000, 53.993981
543.000000, 53.888923
542.000000, 53.793152
541.000000, 53.681232
540.000000, 53.565686
539.000000, 53.454665
538.000000, 53.338209
537.000000, 53.212047
536.000000, 53.079705
535.000000, 52.951569
534.000000, 52.824138
533.000000, 52.687368
532.000000, 52.541299
531.000000, 52.401391
530.000000, 52.251815
529.000000, 52.105735
528.000000, 51.953775
527.000000, 51.794086
526.000000, 51.634066
525.000000, 51.466310
524.000000, 51.287083
523.000000, 51.107034
522.000000, 50.938289
521.000000, 50.763246
520.000000, 50.576387
519.000000, 50.374724
518.000000, 50.167006
517.000000, 49.960504
516.000000, 49.748003
515.000000, 49.527430
514.000000, 49.298235
513.000000, 49.070786
512.000000, 48.837825
511.000000, 48.580252
510.000000, 48.323896
509.000000, 48.056571
508.000000, 47.783964
507.000000, 47.481207
506.000000, 47.182277
505.000000, 46.862473
504.000000, 46.551818
503.000000, 46.218988
502.000000, 45.890853
501.000000, 45.560610
500.000000, 45.202127
499.000000, 44.841219
498.000000, 44.480320
497.000000, 44.096199
496.000000, 43.700176
495.000000, 43.306216
494.000000, 42.907740
493.000000, 42.498285
492.000000, 42.067376
491.000000, 41.643006
490.000000, 41.222812
489.000000, 40.772380
488.000000, 40.322322
487.000000, 39.858292
486.000000, 39.384800
485.000000, 38.907093
484.000000, 38.441295
483.000000, 37.964358
482.000000, 37.492438
481.000000, 37.015444
480.000000, 36.539883
479.000000, 36.045161
478.000000, 35.537427
477.000000, 35.007045
476.000000, 34.465065
475.000000, 33.903710
474.000000, 33.343100
473.000000, 32.763016
472.000000, 32.191440
471.000000, 31.602313
470.000000, 30.997235
469.000000, 30.388812
468.000000, 29.765180
467.000000, 29.128408
466.000000, 28.492886
465.000000, 27.836322
464.000000, 27.173700
463.000000, 26.503640
462.000000, 25.837844
461.000000, 25.159246
460.000000, 24.473766
459.000000, 23.785072
458.000000, 23.084860
457.000000, 22.385387
456.000000, 21.680788
455.000000, 20.990992
454.000000, 20.301219
453.000000, 19.610989
452.000000, 18.929242
451.000000, 18.256106
450.000000, 17.586573
449.000000, 16.936463
448.000000, 16.294675
447.000000, 15.666215
446.000000, 15.046279
445.000000, 14.449804
444.000000, 13.872357
443.000000, 13.322629
442.000000, 12.821134
441.000000, 12.358971
440.000000, 11.917294
439.000000, 11.507904
438.000000, 11.141172
437.000000, 10.810162
436.000000, 10.525251
435.000000, 10.287494
434.000000, 10.098046
433.000000, 9.959150
432.000000, 9.877370
431.000000, 9.848547
430.000000, 9.878646
429.000000, 9.964639
428.000000, 10.114401
427.000000, 10.327986
426.000000, 10.605606
425.000000, 10.946676
424.000000, 11.352927
423.000000, 11.820303
422.000000, 12.350204
421.000000, 12.946032
420.000000, 13.597641
419.000000, 14.319479
418.000000, 15.097904
417.000000, 15.939387
416.000000, 16.830557
415.000000, 17.776606
414.000000, 18.766349
413.000000, 19.798874
412.000000, 20.875347
411.000000, 21.980377
