nm, %R
546.000000, 54.408047
545.000000, 54.287501
544.000000, 54.180177
543.000000, 54.067703
542.000000, 53.949319
541.000000, 53.829278
540.000000, 53.706415
539.000000, 53.564272
538.000000, 53.431804
537.000000, 53.301275
536.000000, 53.154840
535.000000, 53.004014
534.000000, 52.857950
533.000000, 52.713382
532.000000, 52.552938
531.000000, 52.394612
530.000000, 52.235931
529.000000, 52.071545
528.000000, 51.900373
527.000000, 51.717638
526.000000, 51.537918
525.000000, 51.345010
524.000000, 51.146107
523.000000, 50.954176
522.000000, 50.759307
521.000000, 50.554799
520.000000, 50.342541
519.000000, 50.126018
518.000000, 49.909080
517.000000, 49.673894
516.000000, 49.441995
515.000000, 49.185832
514.000000, 48.927824
513.000000, 48.669256
512.000000, 48.405712
511.000000, 48.132090
510.000000, 47.832760
509.000000, 47.536760
508.000000, 47.228949
507.000000, 46.910943
506.000000, 46.584297
505.000000, 46.242551
504.000000, 45.884470
503.000000, 45.530618
502.000000, 45.170414
501.000000, 44.812662
500.000000, 44.421774
499.000000, 44.026864
498.000000, 43.620308
497.000000, 43.204876
496.000000, 42.790206
495.000000, 42.364905
494.000000, 41.912698
493.000000, 41.474539
492.000000, 41.015326
491.000000, 40.552167
490.000000, 40.092377
489.000000, 39.612588
488.000000, 39.132216
487.000000, 38.626681
486.000000, 38.119244
485.000000, 37.599611
484.000000, 37.098913
483.000000, 36.583355
482.000000, 36.074266
481.000000, 35.566406
480.000000, 35.055985
479.000000, 34.520697
478.000000, 33.968951
477.000000, 33.401547
476.000000, 32.819789
475.000000, 32.230888
474.000000, 31.625044
473.000000, 31.011375
472.000000, 30.392243
471.000000, 29.767475
470.000000, 29.127032
469.000000, 28.482347
468.000000, 27.833633
467.000000, 27.160672
466.000000, 26.493189
465.000000, 25.817173
464.000000, 25.132550
463.000000, 24.442285
462.000000, 23.755625
461.000000, 23.064451
460.000000, 22.374209
459.000000, 21.677001
458.000000, 20.976485
457.000000, 20.283987
456.000000, 19.593677
455.000000, 18.919292
454.000000, 18.251872
453.000000, 17.594371
452.000000, 16.951950
451.000000, 16.324242
450.000000, 15.714581
449.000000, 15.121952
448.000000, 14.548711
447.000000, 14.000169
446.000000, 13.475062
445.000000, 12.978525
444.000000, 12.510224
443.000000, 12.083550
442.000000, 11.707573
441.000000, 11.376988
440.000000, 11.080238
439.000000, 10.828273
438.000000, 10.624071
437.000000, 10.473008
436.000000, 10.371667
435.000000, 10.327747
434.000000, 10.336965
433.000000, 10.405909
432.000000, 10.533384
431.000000, 10.718735
430.000000, 10.969612
429.000000, 11.283660
428.000000, 11.657113
427.000000, 12.101780
426.000000, 12.603492
425.000000, 13.169325
424.000000, 13.798795
423.000000, 14.477265
422.000000, 15.218078
421.000000, 16.007250
420.000000, 16.859431
419.000000, 17.765089
418.000000, 18.720340
417.000000, 19.717599
416.000000, 20.758987
415.000000, 21.837885
414.000000, 22.951796
413.000000, 24.092658
412.000000, 25.254058
411.000000, 26.435366
410.000000, 27.638995
409.000000, 28.876868
408.000000, 30.121594
407.000000, 31.384580
406.000000, 32.641281
405.000000, 33.906272
404.000000, 35.178255
403.000000, 36.425924
402.000000, 37.667765
401.000000, 38.899651
400.000000, 40.122937
399.000000, 41.334472
398.000000, 42.532053
397.000000, 43.715265
396.000000, 44.875605
395.000000, 45.994704
394.000000, 47.112715
393.000000, 48.189005
392.000000, 49.226975
391.000000, 50.242396
390.000000, 51.242466
389.000000, 52.201752
388.000000, 53.119389
387.000000, 54.016230
386.000000, 54.890248
385.000000, 55.709843
384.000000, 56.490811
383.000000, 57.235899
382.000000, 57.945094
381.000000, 58.609505
380.000000, 59.233530
379.000000, 59.882225
378.000000, 60.557371
377.000000, 60.994620
376.000000, 61.387093
375.000000, 61.753845
374.000000, 62.054593
373.000000, 62.330179
372.000000, 62.561128
371.000000, 62.742113
370.000000, 62.888962
369.000000, 63.010650
368.000000, 63.095270
367.000000, 63.120532
366.000000, 63.127519
365.000000, 63.116004
364.000000, 63.067585
363.000000, 63.013318
362.000000, 62.944213
361.000000, 62.832271
360.000000, 62.691477
359.000000, 62.545309
358.000000, 62.358417
357.000000, 62.121144
356.000000, 61.857018
355.000000, 61.537927
354.000000, 61.156856
353.000000, 60.732435
352.000000, 60.282539
351.000000, 59.748654
350.000000, 59.130235
349.000000, 58.440731
348.000000, 57.702376
347.000000, 56.869359
346.000000, 55.943268
345.000000, 54.924837
344.000000, 53.824324
343.000000, 52.630254
342.000000, 51.356292
341.000000, 49.983749
340.000000, 48.503045
339.000000, 46.936007
338.000000, 45.262324
337.000000, 43.502503
336.000000, 41.677552
335.000000, 39.798018
334.000000, 37.891214
