nm, %R
800.000000, 68.881466
799.000000, 68.963102
798.000000, 69.035826
797.000000, 69.098441
796.000000, 69.154434
795.000000, 69.265155
794.000000, 69.326415
793.000000, 69.413164
792.000000, 69.500200
791.000000, 69.559676
790.000000, 69.619768
789.000000, 69.685688
788.000000, 69.769397
787.000000, 69.849467
786.000000, 69.916787
785.000000, 69.983532
784.000000, 70.057593
783.000000, 70.130612
782.000000, 70.241614
781.000000, 70.299970
780.000000, 70.380752
779.000000, 70.462798
778.000000, 70.537483
777.000000, 70.612677
776.000000, 70.689291
775.000000, 70.763629
774.000000, 70.824443
773.000000, 70.911950
772.000000, 70.983985
771.000000, 71.058491
770.000000, 71.133746
769.000000, 71.205366
768.000000, 71.284802
767.000000, 71.343156
766.000000, 71.422997
765.000000, 71.501049
764.000000, 71.576670
763.000000, 71.646423
762.000000, 71.698387
761.000000, 71.788840
760.000000, 71.856420
759.000000, 71.935399
758.000000, 72.007354
757.000000, 72.079043
756.000000, 72.149929
755.000000, 72.220046
754.000000, 72.313771
753.000000, 72.377117
752.000000, 72.444598
751.000000, 72.530308
750.000000, 72.606887
749.000000, 72.683629
748.000000, 72.749699
747.000000, 72.828564
746.000000, 72.906752
745.000000, 72.985865
744.000000, 73.072219
743.000000, 73.128469
742.000000, 73.200816
741.000000, 73.282977
740.000000, 73.346935
739.000000, 73.416892
738.000000, 73.499163
737.000000, 73.574799
736.000000, 73.644408
735.000000, 73.714600
734.000000, 73.786164
733.000000, 73.851872
732.000000, 73.935359
731.000000, 74.008196
730.000000, 74.074655
729.000000, 74.148221
728.000000, 74.216394
727.000000, 74.291079
726.000000, 74.360599
725.000000, 74.456315
724.000000, 74.529032
723.000000, 74.601666
722.000000, 74.668119
721.000000, 74.742146
720.000000, 74.825197
719.000000, 74.883468
718.000000, 74.967983
717.000000, 75.053358
716.000000, 75.117351
715.000000, 75.167448
714.000000, 75.242927
713.000000, 75.318649
712.000000, 75.393439
711.000000, 75.460497
710.000000, 75.537306
709.000000, 75.610422
708.000000, 75.668820
707.000000, 75.748942
706.000000, 75.818160
705.000000, 75.884857
704.000000, 75.958742
703.000000, 76.036976
702.000000, 76.110409
701.000000, 76.183484
700.000000, 76.259260
699.000000, 76.324217
698.000000, 76.386675
697.000000, 76.464508
696.000000, 76.547228
695.000000, 76.622846
694.000000, 76.691862
693.000000, 76.766729
692.000000, 76.829895
691.000000, 76.903667
690.000000, 76.956446
689.000000, 77.031443
688.000000, 77.105200
687.000000, 77.166993
686.000000, 77.225039
685.000000, 77.297132
684.000000, 77.377887
683.000000, 77.441880
682.000000, 77.501265
681.000000, 77.580040
680.000000, 77.649334
679.000000, 77.710604
678.000000, 77.779078
677.000000, 77.848835
676.000000, 77.927600
675.000000, 78.010591
674.000000, 78.074039
673.000000, 78.126994
672.000000, 78.184338
671.000000, 78.264472
670.000000, 78.331884
669.000000, 78.407042
668.000000, 78.482020
667.000000, 78.547609
666.000000, 78.616128
665.000000, 78.681214
664.000000, 78.763217
663.000000, 78.830041
662.000000, 78.894711
661.000000, 78.950312
660.000000, 79.003049
659.000000, 79.071711
658.000000, 79.134972
657.000000, 79.198838
656.000000, 79.269445
655.000000, 79.329063
654.000000, 79.388489
653.000000, 79.460020
652.000000, 79.530608
651.000000, 79.576813
650.000000, 79.635432
649.000000, 79.711840
648.000000, 79.778594
647.000000, 79.843046
646.000000, 79.906427
645.000000, 79.965757
644.000000, 80.023071
643.000000, 80.087489
642.000000, 80.147233
641.000000, 80.203887
640.000000, 80.284573
639.000000, 80.361294
638.000000, 80.419726
637.000000, 80.472238
636.000000, 80.526043
635.000000, 80.584104
634.000000, 80.646437
633.000000, 80.707160
632.000000, 80.767262
631.000000, 80.821091
630.000000, 80.868365
629.000000, 80.918347
628.000000, 80.976341
627.000000, 81.044115
626.000000, 81.108010
625.000000, 81.160891
624.000000, 81.208441
623.000000, 81.262317
622.000000, 81.318548
621.000000, 81.380215
620.000000, 81.444821
619.000000, 81.504830
618.000000, 81.558812
617.000000, 81.604911
616.000000, 81.652815
615.000000, 81.709848
614.000000, 81.758729
613.000000, 81.810655
612.000000, 81.879909
611.000000, 81.939314
610.000000, 81.985050
609.000000, 82.036778
608.000000, 82.095653
607.000000, 82.148485
606.000000, 82.203980
605.000000, 82.260019
604.000000, 82.311065
603.000000, 82.364502
602.000000, 82.404957
601.000000, 82.435696
600.000000, 82.472402
599.000000, 82.528398
598.000000, 82.588024
597.000000, 82.629543
596.000000, 82.671434
595.000000, 82.721822
594.000000, 82.785347
593.000000, 82.827377
592.000000, 82.873938
591.000000, 82.931995
590.000000, 82.981095
589.000000, 83.011760
588.000000, 83.058424
587.000000, 83.100718
586.000000, 83.139925
585.000000, 83.198160
584.000000, 83.237576
583.000000, 83.283325
582.000000, 83.337486
581.000000, 83.384688
580.000000, 83.420494
579.000000, 83.460939
578.000000, 83.509510
577.000000, 83.546671
576.000000, 83.578666
575.000000, 83.620982
574.000000, 83.666883
573.000000, 83.704164
572.000000, 83.736173
571.000000, 83.775483
570.000000, 83.823537
569.000000, 83.870765
568.000000, 83.898839
567.000000, 83.937447
566.000000, 83.982769
565.000000, 84.030352
564.000000, 84.061845
563.000000, 84.096992
562.000000, 84.116842
561.000000, 84.153147
560.000000, 84.192582
559.000000, 84.234517
558.000000, 84.278494
557.000000, 84.323904
556.000000, 84.368374
555.000000, 84.399775
554.000000, 84.434031
553.000000, 84.460259
552.000000, 84.504036
551.000000, 84.548537
550.000000, 84.583615
549.000000, 84.605540
548.000000, 84.648848
547.000000, 84.667475
546.000000, 84.712899
545.000000, 84.750168
544.000000, 84.789331
543.000000, 84.822036
542.000000, 84.869751
541.000000, 84.905614
540.000000, 84.934220
539.000000, 84.952966
538.000000, 84.986771
537.000000, 85.038400
536.000000, 85.065545
535.000000, 85.111902
534.000000, 85.154170
533.000000, 85.189845
532.000000, 85.232624
531.000000, 85.252484
530.000000, 85.292258
529.000000, 85.351603
528.000000, 85.396778
527.000000, 85.431017
526.000000, 85.477461
525.000000, 85.524813
524.000000, 85.575691
523.000000, 85.599213
522.000000, 85.626036
521.000000, 85.690870
520.000000, 85.727585
519.000000, 85.746556
518.000000, 85.776735
517.000000, 85.809635
516.000000, 85.867981
515.000000, 85.899416
514.000000, 85.915611
513.000000, 85.936348
512.000000, 85.976648
511.000000, 85.988588
510.000000, 85.999291
509.000000, 86.018736
508.000000, 86.013709
507.000000, 86.012996
506.000000, 86.019556
505.000000, 86.016800
504.000000, 86.016614
503.000000, 86.006505
502.000000, 85.986986
501.000000, 85.988094
500.000000, 85.974699
499.000000, 85.964715
498.000000, 85.936669
497.000000, 85.894514
496.000000, 85.862067
495.000000, 85.842578
494.000000, 85.819485
493.000000, 85.774393
492.000000, 85.736755
491.000000, 85.684938
490.000000, 85.673219
489.000000, 85.650298
488.000000, 85.623785
487.000000, 85.599131
486.000000, 85.560937
485.000000, 85.516426
484.000000, 85.483147
483.000000, 85.464508
482.000000, 85.452113
481.000000, 85.430816
480.000000, 85.432692
479.000000, 85.420980
478.000000, 85.405520
477.000000, 85.396111
476.000000, 85.362984
475.000000, 85.337085
474.000000, 85.313715
473.000000, 85.282656
472.000000, 85.251504
471.000000, 85.221978
470.000000, 85.166316
469.000000, 85.115433
468.000000, 85.071492
467.000000, 85.006021
466.000000, 84.958187
465.000000, 84.884150
464.000000, 84.800376
463.000000, 84.705460
462.000000, 84.640299
461.000000, 84.535827
460.000000, 84.440792
459.000000, 84.369321
458.000000, 84.248730
457.000000, 84.149815
456.000000, 84.024180
455.000000, 83.884232
454.000000, 83.762484
453.000000, 83.636373
452.000000, 83.528562
451.000000, 83.364129
450.000000, 83.194285
449.000000, 83.042980
448.000000, 82.877515
447.000000, 82.705464
446.000000, 82.514801
445.000000, 82.323211
444.000000, 82.116582
443.000000, 81.900080
442.000000, 81.679133
441.000000, 81.466455
440.000000, 81.220091
439.000000, 80.963882
438.000000, 80.707300
437.000000, 80.428384
436.000000, 80.124533
435.000000, 79.816441
434.000000, 79.492024
433.000000, 79.152099
432.000000, 78.794279
431.000000, 78.436477
430.000000, 78.036399
429.000000, 77.633906
428.000000, 77.201762
427.000000, 76.743659
426.000000, 76.256937
425.000000, 75.744465
424.000000, 75.229204
423.000000, 74.659465
422.000000, 74.109636
421.000000, 73.522599
420.000000, 72.885790
419.000000, 72.228557
418.000000, 71.564540
417.000000, 70.877545
416.000000, 70.155591
415.000000, 69.403077
414.000000, 68.636054
413.000000, 67.870025
412.000000, 67.077064
411.000000, 66.269626
410.000000, 65.465722
409.000000, 64.648374
408.000000, 63.834819
407.000000, 63.041388
406.000000, 62.262191
405.000000, 61.514042
404.000000, 60.813085
403.000000, 60.145559
402.000000, 59.528834
401.000000, 58.976998
400.000000, 58.502423
399.000000, 58.099626
398.000000, 57.786651
397.000000, 57.562686
396.000000, 57.451019
395.000000, 57.414194
394.000000, 57.483621
393.000000, 57.651017
392.000000, 57.903345
391.000000, 58.235470
390.000000, 58.654642
389.000000, 59.146592
388.000000, 59.714224
387.000000, 60.334461
386.000000, 61.009523
385.000000, 61.717784
384.000000, 62.439164
383.000000, 63.174256
382.000000, 63.926127
381.000000, 64.674058
380.000000, 65.418553
379.000000, 66.281038
378.000000, 67.260281
377.000000, 67.885629
376.000000, 68.486575
375.000000, 69.109833
374.000000, 69.674631
373.000000, 70.186111
372.000000, 70.655525
371.000000, 71.074417
370.000000, 71.512087
369.000000, 71.885574
368.000000, 72.220656
367.000000, 72.517376
366.000000, 72.782869
365.000000, 73.009454
364.000000, 73.215722
363.000000, 73.407601
362.000000, 73.590874
361.000000, 73.734254
360.000000, 73.874869
359.000000, 74.018564
358.000000, 74.121535
357.000000, 74.218824
356.000000, 74.279823
355.000000, 74.291287
354.000000, 74.271377
353.000000, 74.206456
352.000000, 74.109048
351.000000, 73.970288
350.000000, 73.733455
349.000000, 73.433451
348.000000, 73.096565
347.000000, 72.677516
346.000000, 72.150323
345.000000, 71.504808
344.000000, 70.749767
343.000000, 69.875288
342.000000, 68.887039
341.000000, 67.725283
340.000000, 66.371945
339.000000, 64.819971
338.000000, 63.007526
337.000000, 60.940175
336.000000, 58.591517
335.000000, 55.923601
334.000000, 52.961582
333.000000, 49.683267
332.000000, 46.128266
331.000000, 42.285790
330.000000, 38.204350
329.000000, 34.008589
328.000000, 29.852437
327.000000, 25.916645
326.000000, 22.331478
325.000000, 19.196277
324.000000, 16.633886
323.000000, 14.702300
322.000000, 13.435478
321.000000, 12.829745
320.000000, 12.819380
319.000000, 13.305320
318.000000, 14.191982
317.000000, 15.360715
316.000000, 16.730167
315.000000, 18.206704
314.000000, 19.673236
313.000000, 21.088355
312.000000, 22.408475
311.000000, 23.615331
310.000000, 24.696434
309.000000, 25.631611
308.000000, 26.441095
307.000000, 27.112732
306.000000, 27.658609
305.000000, 28.098812
304.000000, 28.446781
303.000000, 28.713552
302.000000, 28.920355
301.000000, 29.080065
300.000000, 29.195161
299.000000, 29.276773
298.000000, 29.342661
297.000000, 29.400335
296.000000, 29.438218
295.000000, 29.470285
294.000000, 29.498597
293.000000, 29.518456
292.000000, 29.536029
291.000000, 29.554699
290.000000, 29.574052
289.000000, 29.581099
288.000000, 29.586279
287.000000, 29.594803
286.000000, 29.612231
285.000000, 29.625061
284.000000, 29.624426
283.000000, 29.622383
282.000000, 29.621256
281.000000, 29.622262
280.000000, 29.617869
279.000000, 29.614847
278.000000, 29.605677
277.000000, 29.588731
276.000000, 29.567123
275.000000, 29.541942
274.000000, 29.518842
273.000000, 29.488932
272.000000, 29.450582
271.000000, 29.412087
270.000000, 29.375707
269.000000, 29.332238
268.000000, 29.286341
267.000000, 29.239039
266.000000, 29.183967
265.000000, 29.125984
264.000000, 29.062491
263.000000, 29.002380
262.000000, 28.938428
261.000000, 28.863129
260.000000, 28.788564
259.000000, 28.708229
258.000000, 28.626421
257.000000, 28.545232
256.000000, 28.452867
255.000000, 28.362569
254.000000, 28.267312
253.000000, 28.168169
252.000000, 28.072295
251.000000, 27.973446
250.000000, 27.870912
249.000000, 27.761627
248.000000, 27.649447
247.000000, 27.536164
246.000000, 27.422112
245.000000, 27.309508
244.000000, 27.189282
243.000000, 27.066647
242.000000, 26.949078
241.000000, 26.828238
240.000000, 26.701181
