nm, %R
800.000000, 62.207574
799.000000, 62.311869
798.000000, 62.407814
797.000000, 62.507372
796.000000, 62.592858
795.000000, 62.683737
794.000000, 62.783455
793.000000, 62.880682
792.000000, 62.974205
791.000000, 63.080444
790.000000, 63.176108
789.000000, 63.269648
788.000000, 63.375895
787.000000, 63.464790
786.000000, 63.560715
785.000000, 63.656687
784.000000, 63.768737
783.000000, 63.852123
782.000000, 63.953670
781.000000, 64.058393
780.000000, 64.147173
779.000000, 64.237338
778.000000, 64.331358
777.000000, 64.427918
776.000000, 64.532198
775.000000, 64.622861
774.000000, 64.716851
773.000000, 64.820060
772.000000, 64.909861
771.000000, 65.012774
770.000000, 65.110602
769.000000, 65.203503
768.000000, 65.287897
767.000000, 65.395333
766.000000, 65.496454
765.000000, 65.594254
764.000000, 65.701553
763.000000, 65.791982
762.000000, 65.874235
761.000000, 65.965033
760.000000, 66.066725
759.000000, 66.159627
758.000000, 66.250025
757.000000, 66.363300
756.000000, 66.454552
755.000000, 66.550002
754.000000, 66.653820
753.000000, 66.744459
752.000000, 66.832750
751.000000, 66.944060
750.000000, 67.046712
749.000000, 67.132704
748.000000, 67.235643
747.000000, 67.326669
746.000000, 67.414405
745.000000, 67.509781
744.000000, 67.606061
743.000000, 67.703472
742.000000, 67.793258
741.000000, 67.892477
740.000000, 67.990036
739.000000, 68.084121
738.000000, 68.175489
737.000000, 68.274647
736.000000, 68.380999
735.000000, 68.477319
734.000000, 68.568625
733.000000, 68.664248
732.000000, 68.751001
731.000000, 68.842927
730.000000, 68.943760
729.000000, 69.043017
728.000000, 69.131073
727.000000, 69.225147
726.000000, 69.336010
725.000000, 69.439926
724.000000, 69.537741
723.000000, 69.622121
722.000000, 69.720548
721.000000, 69.821702
720.000000, 69.917619
719.000000, 70.007796
718.000000, 70.090658
717.000000, 70.183676
716.000000, 70.281054
715.000000, 70.371199
714.000000, 70.457040
713.000000, 70.562795
712.000000, 70.670317
711.000000, 70.764655
710.000000, 70.852653
709.000000, 70.953129
708.000000, 71.034707
707.000000, 71.114793
706.000000, 71.209468
705.000000, 71.307604
704.000000, 71.403677
703.000000, 71.493351
702.000000, 71.590568
701.000000, 71.689078
700.000000, 71.793460
699.000000, 71.886789
698.000000, 71.965033
697.000000, 72.069056
696.000000, 72.158838
695.000000, 72.250459
694.000000, 72.341095
693.000000, 72.439320
692.000000, 72.533432
691.000000, 72.618559
690.000000, 72.716332
689.000000, 72.796020
688.000000, 72.878514
687.000000, 72.964157
686.000000, 73.069502
685.000000, 73.167517
684.000000, 73.246579
683.000000, 73.339974
682.000000, 73.437739
681.000000, 73.519979
680.000000, 73.615319
679.000000, 73.696981
678.000000, 73.787062
677.000000, 73.877921
676.000000, 73.970639
675.000000, 74.063848
674.000000, 74.159103
673.000000, 74.252141
672.000000, 74.345399
671.000000, 74.431572
670.000000, 74.516574
669.000000, 74.593788
668.000000, 74.669845
667.000000, 74.761634
666.000000, 74.863078
665.000000, 74.956901
664.000000, 75.036327
663.000000, 75.124417
662.000000, 75.215160
661.000000, 75.300931
660.000000, 75.389070
659.000000, 75.475187
658.000000, 75.564967
657.000000, 75.650977
656.000000, 75.728789
655.000000, 75.806883
654.000000, 75.899461
653.000000, 75.983894
652.000000, 76.060928
651.000000, 76.139042
650.000000, 76.236869
649.000000, 76.333260
648.000000, 76.424048
647.000000, 76.511841
646.000000, 76.598430
645.000000, 76.676083
644.000000, 76.751601
643.000000, 76.830277
642.000000, 76.904012
641.000000, 76.985075
640.000000, 77.073496
639.000000, 77.159514
638.000000, 77.239432
637.000000, 77.314206
636.000000, 77.395618
635.000000, 77.476800
634.000000, 77.564036
633.000000, 77.641378
632.000000, 77.716252
