comparison_uid,sample_name,display_name,measurement_uid,color_uid,measurement_number,source_family,source_system,surface,substrate,measurement_mode,measurement_angle_deg,measurement_angle_note,description,csv_path,L*,a*,b*,Cab*,Hab*,lab_srgb_hex,source_file,worksheet,instrument_sample_id,created_at_raw,metadata_source
716cb56b3c,S-11,S-11 #,716cb56b3c,,,sofus_twodetectors,Sofus TwoDetectors,rough,Silicon,,,,Ag 120 nm on Si rough (S-11)_1,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample126.Sample.Raw.csv,,,,,,,,,Sample126,,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Info.txt
b1e736b180,S-11,S-11 #,b1e736b180,,,sofus_twodetectors,Sofus TwoDetectors,smooth,Silicon,,,,Ag 120 nm on Si (S-11)_1,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Sample125.Sample.Raw.csv,,,,,,,,,Sample125,,Sofus - TwoDetectors 29. april 2025 10_28 Romance Daylight Time/Info.txt
